""	"task"	"categories"	"parents"	"children"	"siblings"
"82"	"Face Swapping"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"83"	"Facial Landmark Detection"	"['Computer Vision']"	"['Facial Recognition and Modelling']"	"['Unsupervised Facial Landmark Detection', '3D Facial Landmark Localization']"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"84"	"3D Face Reconstruction"	"['Computer Vision']"	"['Facial Recognition and Modelling', 'Face Reconstruction', '3D', '3D Object Reconstruction', '3D Absolute Human Pose Estimation']"	"['Facial Recognition and Modelling']"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', '3D Object Detection From Monocular Images', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Plane Detection', '3D Face Reconstruction', '3D Object Classification', 'Facial Attribute Classification', 'Facial Inpainting', 'Underwater 3D Scene Reconstruction', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', '3D Object Retrieval', 'Age Estimation', 'Face Reenactment', 'Face Reconstruction', 'Generating 3D Point Clouds', 'Facial Expression Recognition', '3D Pose Estimation', 'Face Recognition', 'Face Generation', 'Face Identification', 'Neural Rendering', 'Face Anti-Spoofing', 'Face Sketch Synthesis', '3D Shape Generation', 'Gender Prediction', 'Face Verification', '3D Object Reconstruction From A Single Image', '3D Reconstruction', '3D Shape Representation', 'Facial Landmark Detection', '3D Point Cloud Matching', '3D Feature Matching', 'Facial Action Unit Detection', '3D Scene Reconstruction', '3D Depth Estimation', 'Face Detection', '3D FACE MODELING', '3D Surface Generation', 'Robust Face Recognition', 'Video Reconstruction', '3D Volumetric Reconstruction', 'Classify 3D Point Clouds', '3D Shape Classification', '3D Shape Reconstruction', 'Robust Face Alignment', 'Multi-View 3D Shape Retrieval', '3D Shape Recognition', '3D Geometry Perception', 'Point Set Upsampling']"
"85"	"Face Reconstruction"	"['Computer Vision']"	"['Facial Recognition and Modelling']"	"['3D Face Reconstruction']"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"86"	"Face Identification"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"87"	"Face Anti-Spoofing"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"88"	"Age Estimation"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"89"	"Gender Prediction"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"90"	"Robust Face Recognition"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"91"	"Face Hallucination"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"92"	"Facial Inpainting"	"[]"	"['Facial Recognition and Modelling', 'Image Inpainting']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Cloud Removal', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Image Outpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Fine-Grained Image Inpainting', 'Robust Face Alignment']"
"93"	"Age And Gender Classification"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"94"	"Face Sketch Synthesis"	"[]"	"['Facial Recognition and Modelling', 'Sketch']"	"[]"	"['Sketch Recognition', 'Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Drawing Pictures', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Photo-To-Caricature Translation', 'Robust Face Alignment']"
"95"	"Facial Action Unit Detection"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"96"	"Action Unit Detection"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"97"	"Heterogeneous Face Recognition"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"98"	"Robust Face Alignment"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"99"	"Facial Attribute Classification"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"100"	"Facial Beauty Prediction"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"101"	"Face Image Retrieval"	"[]"	"['Facial Recognition and Modelling', 'Image Retrieval']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Image Instance Retrieval', 'Medical Image Retrieval', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Multi-Label Image Retrieval', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Semi-Supervised Sketch Based Image Retrieval', 'Facial Expression Recognition', 'Sketch-Based Image Retrieval', 'Face Recognition', 'Face Generation', 'Face Identification', 'Content-Based Image Retrieval', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment', 'Text-Image Retrieval']"
"102"	"Mobile Periocular Recognition"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"103"	"Autonomous Vehicles"	"['Computer Vision']"	"[]"	"['Autonomous Driving', 'Self-Driving Cars', 'Simultaneous Localization and Mapping', 'Autonomous Navigation', 'Pedestrian Detection', 'Lane Detection', 'Traffic Sign Recognition', 'Loop Closure Detection', 'Pedestrian Attribute Recognition', 'Driver Attention Monitoring', '3D Car Instance Understanding', 'Fast Vehicle Detection', 'Pedestrian Density Estimation']"	"[]"
